"REF_DATE","GEO","DGUID","Percent","Gender (3a)","Age (15A)","First official language spoken (5)","Immigrant and generation status (9)","Visible minority (15)","Highest certificate, diploma or degree (7A)","Census year (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Total - Highest certificate, diploma or degree","2011","","0","units","0","","1.1.1.1.1.1.1.1.3","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","No certificate, diploma or degree","2011","","0","units","0","","1.1.1.1.1.1.1.2.3","20.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","High (secondary) school diploma or equivalency certificate","2011","","0","units","0","","1.1.1.1.1.1.1.3.3","25.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Postsecondary certificate or diploma below bachelor level","2011","","0","units","0","","1.1.1.1.1.1.1.4.3","33.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Bachelor’s degree or higher","2011","","0","units","0","","1.1.1.1.1.1.1.5.3","20.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Bachelor's degree","2011","","0","units","0","","1.1.1.1.1.1.1.6.3","13.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","University certificate, diploma or degree above bachelor level","2011","","0","units","0","","1.1.1.1.1.1.1.7.3","7.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Total - Highest certificate, diploma or degree","2011","","0","units","0","","1.1.1.1.1.1.2.1.3","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","No certificate, diploma or degree","2011","","0","units","0","","1.1.1.1.1.1.2.2.3","17.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","High (secondary) school diploma or equivalency certificate","2011","","0","units","0","","1.1.1.1.1.1.2.3.3","24.5","","","","1"
