"REF_DATE","GEO","DGUID","Percent","Gender (3a)","Age (15A)","First official language spoken (5)","Immigrant and generation status (9)","Visible minority (15)","Highest certificate, diploma or degree (7A)","Census year (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Total - Highest certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.1.1.2","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","No certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.1.2.2","18.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","High (secondary) school diploma or equivalency certificate","2016","","0","units","0","","1.1.1.1.1.1.1.3.2","26.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Postsecondary certificate or diploma below bachelor level","2016","","0","units","0","","1.1.1.1.1.1.1.4.2","32.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Bachelor’s degree or higher","2016","","0","units","0","","1.1.1.1.1.1.1.5.2","23.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Bachelor's degree","2016","","0","units","0","","1.1.1.1.1.1.1.6.2","15.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","University certificate, diploma or degree above bachelor level","2016","","0","units","0","","1.1.1.1.1.1.1.7.2","7.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Total - Highest certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.2.1.2","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","No certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.2.2.2","16.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","High (secondary) school diploma or equivalency certificate","2016","","0","units","0","","1.1.1.1.1.1.2.3.2","25.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Postsecondary certificate or diploma below bachelor level","2016","","0","units","0","","1.1.1.1.1.1.2.4.2","23.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Bachelor’s degree or higher","2016","","0","units","0","","1.1.1.1.1.1.2.5.2","34.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Bachelor's degree","2016","","0","units","0","","1.1.1.1.1.1.2.6.2","22.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","University certificate, diploma or degree above bachelor level","2016","","0","units","0","","1.1.1.1.1.1.2.7.2","11.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Total - Highest certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.3.1.2","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","No certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.3.2.2","17.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","High (secondary) school diploma or equivalency certificate","2016","","0","units","0","","1.1.1.1.1.1.3.3.2","25.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Postsecondary certificate or diploma below bachelor level","2016","","0","units","0","","1.1.1.1.1.1.3.4.2","18.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Bachelor’s degree or higher","2016","","0","units","0","","1.1.1.1.1.1.3.5.2","38.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Bachelor's degree","2016","","0","units","0","","1.1.1.1.1.1.3.6.2","22.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","University certificate, diploma or degree above bachelor level","2016","","0","units","0","","1.1.1.1.1.1.3.7.2","15.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Total - Highest certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.4.1.2","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","No certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.4.2.2","16.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","High (secondary) school diploma or equivalency certificate","2016","","0","units","0","","1.1.1.1.1.1.4.3.2","25.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Postsecondary certificate or diploma below bachelor level","2016","","0","units","0","","1.1.1.1.1.1.4.4.2","18.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Bachelor’s degree or higher","2016","","0","units","0","","1.1.1.1.1.1.4.5.2","39.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Bachelor's degree","2016","","0","units","0","","1.1.1.1.1.1.4.6.2","26.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","University certificate, diploma or degree above bachelor level","2016","","0","units","0","","1.1.1.1.1.1.4.7.2","13.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Total - Highest certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.5.1.2","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","No certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.5.2.2","18.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","High (secondary) school diploma or equivalency certificate","2016","","0","units","0","","1.1.1.1.1.1.5.3.2","26.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Postsecondary certificate or diploma below bachelor level","2016","","0","units","0","","1.1.1.1.1.1.5.4.2","33.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Bachelor’s degree or higher","2016","","0","units","0","","1.1.1.1.1.1.5.5.2","20.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Bachelor's degree","2016","","0","units","0","","1.1.1.1.1.1.5.6.2","13.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","University certificate, diploma or degree above bachelor level","2016","","0","units","0","","1.1.1.1.1.1.5.7.2","7.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Total - Highest certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.6.1.2","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","No certificate, diploma or degree","2016","","0","units","0","","1.1.1.1.1.1.6.2.2","9.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","High (secondary) school diploma or equivalency certificate","2016","","0","units","0","","1.1.1.1.1.1.6.3.2","24.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Postsecondary certificate or diploma below bachelor level","2016","","0","units","0","","1.1.1.1.1.1.6.4.2","29.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Bachelor’s degree or higher","2016","","0","units","0","","1.1.1.1.1.1.6.5.2","36.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Bachelor's degree","2016","","0","units","0","","1.1.1.1.1.1.6.6.2","31.2","","","","1"
