"REF_DATE","GEO","DGUID","Percent","Gender (3a)","Age (15A)","First official language spoken (5)","Immigrant and generation status (9)","Visible minority (15)","Highest certificate, diploma or degree (7A)","Census year (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Total - Highest certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.1.1.4","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","No certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.1.2.4","23.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","High (secondary) school diploma or equivalency certificate","2006","","0","units","0","","1.1.1.1.1.1.1.3.4","25.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Postsecondary certificate or diploma below bachelor level","2006","","0","units","0","","1.1.1.1.1.1.1.4.4","32.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Bachelor’s degree or higher","2006","","0","units","0","","1.1.1.1.1.1.1.5.4","18.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Bachelor's degree","2006","","0","units","0","","1.1.1.1.1.1.1.6.4","11.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","University certificate, diploma or degree above bachelor level","2006","","0","units","0","","1.1.1.1.1.1.1.7.4","6.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Total - Highest certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.2.1.4","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","No certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.2.2.4","20.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","High (secondary) school diploma or equivalency certificate","2006","","0","units","0","","1.1.1.1.1.1.2.3.4","24.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Postsecondary certificate or diploma below bachelor level","2006","","0","units","0","","1.1.1.1.1.1.2.4.4","27.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Bachelor’s degree or higher","2006","","0","units","0","","1.1.1.1.1.1.2.5.4","28.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Bachelor's degree","2006","","0","units","0","","1.1.1.1.1.1.2.6.4","17.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","University certificate, diploma or degree above bachelor level","2006","","0","units","0","","1.1.1.1.1.1.2.7.4","10.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Total - Highest certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.3.1.4","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","No certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.3.2.4","20.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","High (secondary) school diploma or equivalency certificate","2006","","0","units","0","","1.1.1.1.1.1.3.3.4","26.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Postsecondary certificate or diploma below bachelor level","2006","","0","units","0","","1.1.1.1.1.1.3.4.4","23.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Bachelor’s degree or higher","2006","","0","units","0","","1.1.1.1.1.1.3.5.4","29.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Bachelor's degree","2006","","0","units","0","","1.1.1.1.1.1.3.6.4","16.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","University certificate, diploma or degree above bachelor level","2006","","0","units","0","","1.1.1.1.1.1.3.7.4","13.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Total - Highest certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.4.1.4","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","No certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.4.2.4","21.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","High (secondary) school diploma or equivalency certificate","2006","","0","units","0","","1.1.1.1.1.1.4.3.4","24.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Postsecondary certificate or diploma below bachelor level","2006","","0","units","0","","1.1.1.1.1.1.4.4.4","21.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Bachelor’s degree or higher","2006","","0","units","0","","1.1.1.1.1.1.4.5.4","33.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Bachelor's degree","2006","","0","units","0","","1.1.1.1.1.1.4.6.4","21.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","University certificate, diploma or degree above bachelor level","2006","","0","units","0","","1.1.1.1.1.1.4.7.4","11.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Total - Highest certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.5.1.4","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","No certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.5.2.4","21.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","High (secondary) school diploma or equivalency certificate","2006","","0","units","0","","1.1.1.1.1.1.5.3.4","25.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Postsecondary certificate or diploma below bachelor level","2006","","0","units","0","","1.1.1.1.1.1.5.4.4","37.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Bachelor’s degree or higher","2006","","0","units","0","","1.1.1.1.1.1.5.5.4","15.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Bachelor's degree","2006","","0","units","0","","1.1.1.1.1.1.5.6.4","9.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","University certificate, diploma or degree above bachelor level","2006","","0","units","0","","1.1.1.1.1.1.5.7.4","5.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Total - Highest certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.6.1.4","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","No certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.6.2.4","10.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","High (secondary) school diploma or equivalency certificate","2006","","0","units","0","","1.1.1.1.1.1.6.3.4","21.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Postsecondary certificate or diploma below bachelor level","2006","","0","units","0","","1.1.1.1.1.1.6.4.4","34.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Bachelor’s degree or higher","2006","","0","units","0","","1.1.1.1.1.1.6.5.4","33.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Bachelor's degree","2006","","0","units","0","","1.1.1.1.1.1.6.6.4","26.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","University certificate, diploma or degree above bachelor level","2006","","0","units","0","","1.1.1.1.1.1.6.7.4","6.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","Total - Highest certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.7.1.4","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","No certificate, diploma or degree","2006","","0","units","0","","1.1.1.1.1.1.7.2.4","17.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","High (secondary) school diploma or equivalency certificate","2006","","0","units","0","","1.1.1.1.1.1.7.3.4","21.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","Postsecondary certificate or diploma below bachelor level","2006","","0","units","0","","1.1.1.1.1.1.7.4.4","25.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","Bachelor’s degree or higher","2006","","0","units","0","","1.1.1.1.1.1.7.5.4","35.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","Bachelor's degree","2006","","0","units","0","","1.1.1.1.1.1.7.6.4","21.1","","","","1"
