"REF_DATE","GEO","DGUID","Percent","Gender (3a)","Age (15A)","First official language spoken (5)","Immigrant and generation status (9)","Visible minority (15)","Highest certificate, diploma or degree (7A)","Census year (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.4.2.1","14.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.4.3.1","22.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.4.4.1","18.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.4.5.1","44.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.4.6.1","29.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Chinese","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.4.7.1","15.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.5.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.5.2.1","16.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.5.3.1","26.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.5.4.1","30.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.5.5.1","25.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.5.6.1","15.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Black","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.5.7.1","9.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.6.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.6.2.1","8.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.6.3.1","26.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.6.4.1","27.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.6.5.1","37.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.6.6.1","32.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Filipino","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.6.7.1","5.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.7.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.7.2.1","17.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.7.3.1","20.3","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.7.4.1","22.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.7.5.1","39.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.7.6.1","23.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Arab","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.7.7.1","16.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Latin American","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.8.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Latin American","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.8.2.1","15.9","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Latin American","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.8.3.1","25.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Latin American","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.8.4.1","28.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Latin American","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.8.5.1","30.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Latin American","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.8.6.1","18.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Latin American","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.8.7.1","12.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Southeast Asian","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.9.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Southeast Asian","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.9.2.1","25.1","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Southeast Asian","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.9.3.1","28.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Southeast Asian","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.9.4.1","21.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Southeast Asian","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.9.5.1","25.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Southeast Asian","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.9.6.1","18.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Southeast Asian","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.9.7.1","7.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","West Asian","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.10.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","West Asian","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.10.2.1","14.9","","","","1"
